AccountNumber,TransactionDate,TransactionAmount,AccountBalance,CustomerAge,CreditScore,AccountType
123456,20240101,500,5000,35,750,Saving
123457,20240102,-100,1500,42,680,Saving
123458,20240103,-50,2500,29,620,Saving
123459,20240104,700,4700,54,800,Saving
123460,20240105,-200,3000,37,710,Saving
123461,20240106,150,3200,46,725,Saving
123462,20240107,250,3450,50,660,Saving
123463,20240108,-500,2950,33,690,Saving
123464,20240109,450,3400,41,720,Saving
123465,20240110,-250,3150,26,740,Saving
123466,20240111,350,3500,39,760,Saving
123467,20240112,200,3700,47,780,Saving
123468,20240113,-150,3550,52,635,Saving
123469,20240114,-300,3250,38,650,Saving
123470,20240115,400,3650,30,700,Saving
123471,20240116,600,4250,45,730,Saving
123472,20240117,-400,3850,34,710,Saving
123473,20240118,-100,3750,49,680,Saving
123474,20240119,500,4250,28,740,Saving
123475,20240120,-200,4050,51,770,Saving
123476,20240121,700,4750,43,790,Saving
123477,20240122,-350,4400,36,760,Saving
123478,20240123,450,4850,32,750,Saving
123479,20240124,-250,4600,40,730,Saving
123480,20240125,300,4900,48,755,Saving
123481,20240126,-100,4800,53,775,Current
123482,20240127,200,5000,44,690,Current
123483,20240128,350,5350,31,710,Current
123484,20240129,-150,5200,27,720,Current
123485,20240130,500,5700,55,745,Current
123486,20240131,-300,5400,29,765,Current
123487,20240201,400,5800,37,735,Current
123488,20240202,-100,5700,42,755,Current
123489,20240203,600,6300,34,775,Current
123490,20240204,-200,6100,46,695,Current
123491,20240205,300,6400,50,715,Current
123492,20240206,-400,6000,33,735,Current
123493,20240207,500,6500,41,755,Current
123494,20240208,-350,6150,28,775,Current
123495,20240209,450,6600,39,795,Current
123496,20240210,-250,6350,53,765,Current
123497,20240211,300,6650,45,785,Current
123498,20240212,-150,6500,38,805,Current
123499,20240213,400,6900,31,825,Current
123500,20240214,-200,6700,49,745,Current
123501,20240215,350,7050,43,765,Current
123502,20240216,-300,6750,36,785,Current
123503,20240217,250,7000,47,805,Current
123504,20240218,500,7500,54,825,Current
123505,20240219,-450,7050,29,845,Current
